family,calibration_unit,endpoint,conclusion_type,status,cutoff_fragile,cutoff_robust,version,source,supported_conditions
continuous_parametric,welch_unpaired,mean_difference,significant,validated_method_specific,55,70,welch-2026-1,git:f26e559f098efa9ba0fe6b143f419d076ffb50fc:manuscript/robustness_analysis_manuscript.md,"independent groups; Welch test; significant superiority conclusion; default score definition and weights; original documented simulation scope reported in Section 3"
continuous_parametric,paired_t,mean_difference,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
rank_nonparametric,wilcoxon_rank_sum,location_shift,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
rank_nonparametric,wilcoxon_signed_rank,location_shift,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
rank_nonparametric,brunner_munzel,location_shift,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
binary_proportion,fisher_exact,risk_difference,significant,validated_method_specific,58,,fisher-2026-1,study:binary_proportion@cc3344931614,"canonical significant two-arm fisher_exact (binary_proportion Phase 1)"
binary_proportion,chi_square_2x2,risk_difference,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
binary_proportion,two_sample_prop,risk_difference,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
linear_model,lm_ancova,coefficient,significant,uncalibrated,,,lm-ancova-2026-1,manuscript/calibration/studies/lm_ancova/published,"no_feasible_thresholds; candidate_hash:9ccfc2fca7c0a07c19a3a18838e9a3f2; held-out not opened; categorical labels suppressed; Welch 55/70 is not an ANCOVA fallback; numeric scores and component metrics only"
linear_model,lm_ancova_v2,coefficient,significant,uncalibrated,,,lm-ancova-v2-2026-1,manuscript/calibration/studies/lm_ancova_v2/published,"no_feasible_thresholds; candidate_hash:3dc2a1f840b3eb725bea629dc130f070; jackknife-light two-band (Fragile/Not fragile) attempt fail-closed; weights fragility=0.5 bootstrap=0.5 jackknife=0; held-out not opened; categorical labels suppressed; Welch 55/70 is not an ANCOVA fallback; numeric scores and component metrics only"
generalized_linear_model,glm_binomial,coefficient,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
generalized_linear_model,glm_poisson,coefficient,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
survival,cox_ph,hazard_ratio,significant,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_mean,mean_difference,equivalence,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_mean,mean_difference,noninferiority,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_risk_difference,risk_difference,equivalence,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_risk_difference,risk_difference,noninferiority,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_odds_ratio,odds_ratio,equivalence,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
equivalence_noninferiority,tost_odds_ratio,odds_ratio,noninferiority,uncalibrated,,,taxonomy-2026-1,No method-specific calibration study,"numeric scores and component metrics only; categorical bands suppressed"
